procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 202128 139204 563404    0    0     1     8   11   20  0  0 100  0  0
 0  0      0 191976 139204 563404    0    0     0     0   12   22  0  0 100  0  0
 0  0      0 181684 139204 563404    0    0     0     0   11   20  0  1 99  0  0
 0  0      0 171392 139204 563404    0    0     0     0   10   20  0  0 100  0  0
 1  0      0 160604 139208 563424    0    0    20    28   38   83  1  2 96  1  0
 0  0      0 150932 139208 563424    0    0     0     0   12   20  0  0 100  0  0
 0  0      0 140640 139208 563424    0    0     0     0   12   18  0  1 98  0  1
 0  0      0 130348 139208 563424    0    0     0     0   11   18  0  1 99  0  0
 0  0      0 120056 139208 563424    0    0     0     0   13   23  0  0 100  0  0
 0  0      0 109888 139208 563424    0    0     0     0   13   25  0  1 99  0  0
 0  0      0  99596 139208 563424    0    0     0    20   20   31  1  0 99  0  0
 0  0      0 201780 139208 563424    0    0     0     0   15   30  0  1 99  0  0
 0  0      0 201780 139208 563424    0    0     0     0    9   18  0  0 100  0  0
 0  0      0 201780 139208 563424    0    0     0     0   10   23  0  0 100  0  0
 0  0      0 201780 139208 563424    0    0     0     0    9   16  0  0 100  0  0
